Name;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule;Energie, Kalorien;Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);All-trans Retinol-Äquivalente (µg-RE);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Niacin (mg);Folat (µg);Pantothensäure (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg)
Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;97;23;0,3;0;0;0,1;0;2,4;2,2;0,2;2,5;1,6;0;0;93,3;92;46;0;552;492;0,04;0,04;0,08;0;0,25;30,3;0,16;13,3;0;1,03;130;16;36;48;11;33;0,5;2,3;0,2;-
Blattsalat (Durchschnitt), roh , ;Gemüse/Gemüse frisch;;pro 100g ;76;18;0,3;0,1;0;0,1;0;1,4;1,4;0;1,9;1,6;0;0;94,9;239;120;0;1434;1421;0,06;0,08;0,08;0;0,37;68,1;0,17;14,5;0;0,6;270;18;36;53;13;35;1;5,7;0,3;-
Blauschimmelkäse (Durchschnitt), ;Milch und Milchprodukte/Hartkäse;;pro 100g ;1490;360;31,5;18,9;7,4;1,5;95;0,2;0,1;0;0;19,1;3,8;0;48,9;221;218;214;44;44;0,03;0,58;0,1;0,72;0,51;46;0,99;0;0,5;0,67;130;1530;2100;610;24;390;0,4;40;2,5;-
Blumenkohl, gedämpft (ohne Zugabe von Salz), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;116;28;0,3;0,1;0;0,2;0;2,4;2,1;0,3;2,5;2,5;0;0;92,2;0;0;0;2;2;0,05;0,08;0,13;0;0,51;52,4;0,67;47,3;0;0,21;290;13;19;20;14;48;0,4;0,6;0,3;-
Blumenkohl, roh, ;Gemüse/Gemüse frisch;;pro 100g ;110;26;0,3;0,1;0;0,2;0;2,3;2;0,3;2,4;2,4;0;0;91,9;0;0;0;2;2;0,06;0,08;0,15;0;0,6;83;0,74;59,9;0;0,2;320;14;19;20;15;48;0,5;0,6;0,3;-
Blutwurst, ;Fleisch- und Wurstwaren/Kochwurstware;;pro 100g ;628;151;10,8;4,6;4,6;1,1;32;2,6;2,6;0;0,1;10,7;2;0;75,7;38;37;36;9;9;0,05;0,12;0,19;1,09;0,39;4,4;0,39;0,6;0;0,15;140;790;1230;61;14;65;30;6,9;1,6;-
Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz), ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;;pro 100g ;481;114;0,6;0,1;0;0,3;0;15,2;4,5;13,3;8,5;7,8;0;0;67,9;0;0;0;1;1;0,08;0,02;0,07;0;0,83;76,8;0,08;0,6;0;0,05;420;1;18;45;51;150;2;0,4;1,1;-
Bohne (alle Arten), getrocknet, Weisse Bohne,Rote Bohne,Borlotti Bohne;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;;pro 100g ;1280;305;1,5;0,3;0,1;0,7;0;40,7;12;35,6;22,6;20,9;0;0;10,4;0;0;0;2;2;0,34;0,08;0,25;0;3,4;410;0,39;2,7;0;0,15;1510;1,3;47;130;160;440;6,3;1,1;3,2;-
Bohne, grün, gedämpft (ohne Zugabe von Salz), Gartenbohne;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;142;34;0,2;0,1;0;0,1;0;4;2,4;1,5;3,4;2,3;0;0;90,1;70;35;0;421;313;0,07;0,1;0,13;0;0,62;46,2;0,84;12,5;0;0,26;230;3,7;14;58;27;40;0,9;3,1;0,3;-
Bohne, grün, getrocknet, Dörrbohne;Gemüse/Gemüse getrocknet;;pro 100g ;1060;252;2;0,4;0,1;1,1;0;25,7;9,5;10,3;25,3;20,2;0,1;0;6;229;114;0;1371;1371;0,45;0,71;1,33;0;4,1;186;2,19;67,6;0;1;2510;21;140;540;230;400;7,2;25;2,5;-
Bohne, grün, roh, Gartenbohne;Gemüse/Gemüse frisch;;pro 100g ;129;31;0,2;0,1;0;0,1;0;3,6;2,2;1,4;3,1;2,1;0;0;90,3;64;32;0;383;306;0,08;0,1;0,14;0;0,7;70;0,9;16;0;0,24;240;4;13;56;28;38;1;3;0,3;-
Bolognaisesauce, Tomaten-Hackfleischsauce;Verschiedenes/Saucen;;pro 100g ;402;96;4;1,4;2,1;0,4;9;8,3;2,6;3,4;0,6;6,3;0,6;0;80,9;35;34;32;20;20;0,06;0,08;0,1;0,3;1,29;6;0,24;3,9;0,1;0,44;240;220;390;14;14;47;0,5;1,5;0,6;-
Bouillon, Fleisch, zubereitet, Klare Brühe;Gerichte/Eintöpfe und Suppen;1;pro 100g ;20;5;0,3;0,2;0,1;0;0;0,2;0;0,1;0;0,3;1,1;0;98;0;0;0;0;0;0;0,01;0,01;1;0,83;23;0,14;0;0;0;54;420;330;1;10;13;0,2;3;0;-
Bouillon, Geflügel, zubereitet, Klare Brühe;Gerichte/Eintöpfe und Suppen;1;pro 100g ;21;5;0,3;0,1;0,1;0,1;5;0,3;0,1;0,1;0;0,3;1;0;98,1;0;0;0;0;0;0;0,01;0,01;0,4;1,2;23;0,18;0;0;0;10;400;290;6;11;5;0;2,8;0;-
Bouillon, Gemüse, zubereitet, Klare Brühe;Gerichte/Eintöpfe und Suppen;1;pro 100g ;26;6;0,4;0,1;0,2;0,1;0;0,4;0,1;0,2;0;0,3;0,9;0;97,5;0;0;0;2;2;0,11;0,01;0;0;0,1;1;0,03;0;0;0;8;360;280;1;4;3;0,1;3,6;0;-
Branchli (Milchschokolade mit Haselnusscrèmefüllung), Schokoladenstängeli;Süssigkeiten/Schokolade und Kakaoerzeugnisse;;pro 100g ;2310;556;35,6;17;14,3;2,3;8;48,5;47,5;0,8;3,7;8,3;0,2;0;4,5;24;23;22;13;-;0,1;0,27;0,13;0,24;0,53;13,6;0,68;1,1;0,1;5,08;430;63;130;190;79;210;1,5;5,4;1,4;-
Branntwein aus Getreide, 40 vol% (z.B. Whisky), Getreideschnaps;Alkoholhaltige Getränke/Spirituosen;0,95;pro 100 ml;972;234;0;0;0;0;0;0,1;0,1;0;0;0;0;33,4;61,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,9;1;0;1,9;1;4,8;0;0;0;-
Branntwein aus Wein (z.B.Cognac, Brandy), ;Alkoholhaltige Getränke/Spirituosen;0,95;pro 100 ml;944;228;0;0;0;0;0;1,9;1,9;0;0;0;0;31,4;61,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,9;1,9;2,9;0;1;0;0;0;0;-
Branntwein aus Zuckerrohr (z.B. Rum), Zuckerrohrschnaps;Alkoholhaltige Getränke/Spirituosen;0,95;pro 100 ml;920;222;0;0;0;0;0;0;0;0;0;0;0;31,7;63,2;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;1,9;1;0;0;0;4,8;0,1;0;0,1;-
Bratbutter, ;Fette und Öle/Fette,Milch und Milchprodukte/Rahm und Butter;0,9;pro 100g ;3640;885;98,3;58,9;23,1;4,5;282;0;0;0;0;0,1;0;0;1,1;782;766;749;199;199;0;0;0;0;0;0;0;0;1,6;1,77;5;10;5;2;0;0;0;0;0.2;-
Bratensauce, gebunden, ;Verschiedenes/Saucen;;pro 100g ;221;53;3;0,7;1,3;0,3;0;4,6;0,8;3,7;0,5;1,6;1,4;0;88,8;48;25;2;273;273;0,02;0,04;0,03;0;0,58;3;0,08;1,7;0;0,1;95;580;610;18;8;40;0,6;3;0,8;-
Bratensauce, klar, ;Verschiedenes/Saucen;;pro 100g ;182;44;2,5;0,5;1,3;0,3;0;3,5;1,5;2;0.5;1,5;2,3;0;90,6;1;1;1;0;0;0,02;0,04;0,03;0;0,58;3;0,08;1,7;0;0,14;95;900;610;18;8;40;0,6;3;0,8;-
Bresaola, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;704;167;3,9;1,6;1,9;0,2;65;0,4;0;0;0;32,4;6,8;0;58,2;0;0;0;0;0;0,12;0,6;0,53;0;0;19;0;0;0,5;0,12;320;2730;0;35;0;140;7,1;0;4,1;-
Brie, Rahm, ;Milch und Milchprodukte/Weichkäse;;pro 100g ;1420;342;30;18;7;1,4;90;0;0;0;0;17,7;1,4;0;48,5;305;293;280;150;150;0,02;0,34;0,13;1,31;1,1;61,1;0,38;0;0,7;0,78;120;560;0;500;20;340;0,2;20;2,3;-
Brie, vollfett, ;Milch und Milchprodukte/Weichkäse;;pro 100g ;1240;298;23,5;14,1;5,5;1,1;71;0;0;0;0;21,4;1,3;0;51,4;266;255;244;130;130;0,02;0,25;0,14;1,8;1,2;65;0,69;0;0,5;0,61;84;510;980;420;19;300;0,1;8,3;2,5;-
Broccoli, gedämpft (ohne Zugabe von Salz), ;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;126;30;0,4;0,1;0,1;0,2;0;2,3;2,2;0,1;2,9;2,9;0;0;91,5;88;44;0;529;476;0,07;0,11;0,15;0;0,77;39,6;0,64;81,6;0;0,96;300;11;71;85;22;61;1,1;14;0,4;-
Broccoli, roh, ;Gemüse/Gemüse frisch;;pro 100g ;131;31;0,4;0,1;0,1;0,2;0;2,4;2,3;0,1;3;3;0;0;90,7;92;46;0;550;550;0,09;0,13;0,19;0;1;68,7;0,78;113,1;0;1;370;13;78;93;25;67;1,4;15;0,5;-
Brombeere, roh, ;Früchte/Früchte frisch;;pro 100g ;185;44;0,4;0;0,2;0,2;0;6,2;6,2;0;6;1;0;0;85;24;12;0;144;110;0,03;0,05;0,05;0;0,5;34;0,2;20;0;4;200;3;20;30;22;30;1;0,4;0,1;-
Brombeerkuchen, gebacken (mit Blätterteig), Brombeerwähe;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;561;135;7;3,8;1,8;0,6;39;12,9;5,9;6,9;4,3;2,8;0,2;0;73,1;88;77;67;124;91;0,04;0,07;0,05;0,08;0,39;16,2;0,28;10,7;0,2;2,83;160;93;160;35;19;52;0,9;2,8;0,3;-
Brombeerkuchen, gebacken (mit Kuchenteig), Brombeerwähe;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;573;137;6,2;3,3;1,6;0,6;37;15,1;5,9;9;4,4;3,1;0,2;0;71,4;78;68;58;120;87;0,04;0,07;0,06;0,08;0,41;16,4;0,29;10,7;0,2;2,82;160;90;150;35;20;55;1;2,8;0,3;-
Brombeerkuchen, gebacken (mit süssem Mürbeteig), ;Süssigkeiten/Kuchen, Torten und Cake,Gerichte/Kuchen und Gratins;;pro 100g ;830;199;11,3;6,4;2,8;0,8;47;19,1;8,4;10,7;4;3,2;0,2;0;62,5;133;122;112;130;107;0,05;0,06;0,06;0,07;0,42;22,5;0,28;11,6;0,3;2,61;160;89;150;31;19;54;0,9;2,4;0,3;-
Brot (Durchschnitt), ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1110;264;4,6;2,3;1;0,7;15;44,6;1,3;42,9;3,7;9,2;1,6;0;38,7;39;38;36;17;14;0,17;0,1;0,12;0,04;1,15;21,8;0,39;0,1;0,1;0,38;170;620;960;29;36;130;1,5;2,6;1,2;-
Brühwürste geräuchert (Durchschnitt), ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1090;263;22,7;8,7;10,5;2;51;0,5;0,5;0;0;14,3;2,2;0;62,6;2;2;2;2;2;0,24;0,12;0,1;0,87;3,14;0,9;0,42;35,4;0,4;0,08;180;870;1220;8,5;13;180;0,9;0,4;1,9;-
Brühwürste ungeräuchert (Durchschnitt), ;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1100;266;23,1;8,7;10,8;2,3;58;0,8;0,8;0;0;13,7;2;0;62,5;4;4;3;8;8;0,21;0,13;0,15;0,85;2,89;2,4;0,46;21,4;0,4;0,16;140;810;1130;12;13;170;0,7;1,5;1,4;-
Brunnenkresse, roh, ;Gemüse/Gemüse frisch;;pro 100g ;71;17;0,2;0,1;0;0,1;0;0,3;0,3;0;2,6;2,2;0,1;0;93,5;453;227;0;2720;2720;0,1;0,12;0,13;0;0,4;214;0,2;60;0;1,2;300;42;110;160;20;53;1,3;2;0,2;-
Brunsli, ;Süssigkeiten/Guetzli;;pro 100g ;2090;502;28,9;5,6;16,5;6,3;1;41,5;38,2;4,9;7,9;14,8;0,1;0;9,2;1;1;0;6;5;0,11;0,28;0,09;0,01;1,15;24,8;0,29;0;0;13,47;550;53;100;140;140;270;3,8;2,3;3,3;-
Buchweizen, Korn geschält, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;;pro 100g ;1470;346;1,7;0,4;0,6;0,6;0;71;0,4;70,6;3,7;9,8;0;0;12,8;2;1;0;13;13;0,37;0,15;0,36;0;2,9;50;1,23;0;0;0,84;390;2;12;18;140;320;3,8;0,5;2,7;-
Buchweizenmehl, ;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;;pro 100g ;1470;348;2,2;0,3;0,5;0,6;0;68,4;0;68,4;4,2;11,5;0;0;12,1;0;0;0;0;0;0,55;0,15;0,34;0;4,75;66,8;1,53;0;0;0,32;390;17;10;24;160;260;2,5;2,5;2,3;-
Bündner Gerstensuppe, ;Gerichte/Eintöpfe und Suppen;1,1;pro 100g ;175;42;0,9;0.5;0,3;0,2;1;6,7;1,3;5;0.5;1,4;0,9;0;91;133;74;15;705;705;0,03;0,03;0,07;0;0,32;9;0,15;3,6;0,1;0,23;110;350;330;29;11;34;0,5;4,2;0,3;-
Bürli (halbweiss), ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;912;215;1;0,2;0,2;0,5;0;41,5;0,4;26;2,9;8,6;1,9;0;46,7;0;0;0;0;0;0,15;0,06;0,12;0;0,66;21,1;0,31;0;0;0,16;120;770;1160;17;28;110;1,3;0,9;1;-
Buttergipfeli, hell, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1810;432;24,2;14,2;5,7;1,5;75;43,5;3,3;39,8;2,6;8,8;1,2;0;21,5;248;239;230;107;91;0,12;0,11;0,11;0,11;0,7;21,6;0,38;0,3;0,5;0,59;170;490;770;52;25;120;1;1,9;0,9;-
Buttergipfeli, Vollkorn, Rusticogipfeli;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1540;368;19,7;11,5;4,6;1,3;61;38,7;2,2;36,2;4,2;6,8;1,1;0;31,1;201;194;187;87;73;0,12;0,09;0,1;0,05;0,8;22,5;0,34;0;0,3;0,58;160;440;690;15;24;110;1;1,5;1;-
Buttermilch, ;Milch und Milchprodukte/Milch- und Joghurtgetränke;1;pro 100 ml;145;34;0,5;0,3;0,1;0;1;4;4;0;0;3,4;0,1;0;90,5;10;9;8;9;9;0,03;0,16;0,04;0,2;0,1;5;0,3;0,6;0;0,02;150;57;100;110;16;90;0,1;7,3;0,5;-
Butterweggli, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1300;309;8,7;4,9;2;0,8;23;47,3;3,4;43,5;2,2;9,4;1,6;0;33,1;84;81;78;36;31;0,13;0,15;0,13;0,07;0,83;26,5;0,41;0,3;0,1;0,34;200;650;1020;56;27;130;1,1;-;0,9;-
Butterzopf, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1370;325;11,4;6,5;2,6;0,9;45;45,7;2,9;42,4;2,1;9;1,5;0;32,4;115;111;107;48;41;0,11;0,13;0,06;0,11;0,72;23,4;0,37;0,2;0,3;0,31;180;590;930;49;14;90;0,5;5,1;0,6;-
Butterzopf, Vollkorn, ;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;;pro 100g ;1150;272;6,4;3,2;1,4;1,2;22;40,4;0,9;39,5;7,3;9,5;1,2;0;36,9;55;53;50;26;22;0,25;0,15;0,29;0,03;3,31;33,9;0,67;0;0,1;1,12;270;460;710;22;86;240;3,3;2,4;2,3;-
Café crème, ungezuckert, ;Alkoholfreie Getränke/Kaffee;1;pro 100 ml;55;13;1,1;0,7;0,3;0,1;4;0,5;0,3;0;0,1;0,3;0;0;98;11;11;10;6;6;0;0,01;0;0,04;0,13;0,2;0,03;0,1;0;0,02;35;6,9;6,4;14;3,7;8,7;0;0,9;0;-
Cake Financier, ;Süssigkeiten/Kuchen, Torten und Cake;;pro 100g ;1800;431;25,5;8;11,5;4,3;31;37,4;29,2;9,3;4;11;0,1;0;23,4;119;115;111;52;44;0,07;0,21;0,05;0,02;0,69;15,4;0,19;0;0,2;8,46;270;39;59;80;71;150;1,5;2,2;1,8;-
Calimocho (Rotwein mit Cola), ;Alkoholfreie Getränke/Süssgetränke,Alkoholhaltige Getränke/Sonstige alkoholische Getränke;1;pro 100 ml;228;55;0;0;0;0;0;5,2;5,1;0;0;0,1;0;4,8;90;0;0;0;0;0;0;0,01;0,01;0;0,05;0;0,05;0;0;0;58;7;10;6,5;8;15;0,5;6;0,1;-
Camembert, halbfett, ;Milch und Milchprodukte/Weichkäse;;pro 100g ;785;188;10;6;2,4;0,5;30;0;0;0;0;24,4;1,5;0;58,5;94;88;82;74;74;0,02;0,5;0,17;1,79;1,2;50;0,66;0;0,5;0,19;130;600;1500;530;22;410;0,3;20;3;-
Camembert, Rahm, ;Milch und Milchprodukte/Weichkäse;;pro 100g ;1470;355;31,7;19;7,5;1,5;95;0;0;0;0;17,1;1,2;0;47,6;150;150;150;0;-;0,02;0,71;0,14;1,94;1,1;75,2;0,51;0;0,5;0,59;99;480;1030;350;16;260;0,2;6,8;1,6;-
Camembert, vollfett, ;Milch und Milchprodukte/Weichkäse;;pro 100g ;1230;297;23,7;14,2;5,6;1,1;71;0;0;0;0;20,8;2,2;0;52,1;235;218;202;195;195;0,02;0,23;0,15;1,8;1,1;80;0,8;0;0,5;0,44;83;890;1170;370;19;260;0,1;20;2,2;-
Cannelloni mit Fleischfüllung, zubereitet, ;Gerichte/Italienische Gerichte;;pro 100g ;807;193;9,9;5;3,2;0,6;34;14,6;2,6;12;1,8;10,4;0,7;0;63,4;212;143;73;833;500;0,03;0,08;0,09;0,31;1,05;9,2;0,24;3,1;0,2;0,95;200;290;520;96;20;120;1;4,7;1,7;-
Cannelloni mit Spinat-Ricotta-Füllung, zubereitet, ;Gerichte/Italienische Gerichte;;pro 100g ;924;222;13,7;7,7;3,6;0,8;38;15,2;1,8;13,2;1,7;8,6;0,9;0;60,9;289;211;132;945;836;0,03;0,18;0,08;0,26;0,6;16,9;0,23;4,8;0,2;1,1;230;340;590;200;33;160;1,1;11;1;-
Cappuccino (ohne Schokoladenpulver), ungezuckert, ;Milch und Milchprodukte/Milch- und Joghurtgetränke,Alkoholfreie Getränke/Kaffee;0,88;pro 100 ml;155;37;2,2;1,3;0,5;0,1;8;2,6;2,5;0;0;1,7;0,1;0;93,4;25;25;24;10;10;0,01;0,12;0,02;0,09;0,11;2,3;0,2;0,5;0;0,07;93;21;52;67;6,6;50;0;5,2;0,2;-
Capuns, zubereitet, Mangoldwickel;Gerichte/Sonstige salzige/rezente Gerichte;;pro 100g ;702;168;10,4;5,2;3,2;0,8;68;10,1;1,1;8,9;1;8,1;1;0;70,5;188;133;77;668;554;0,09;0,1;0,09;0,6;1,46;18,1;0,51;3,9;0,4;0,57;170;380;550;43;15;86;1;6,7;1;-
Cashewnuss, Cashewkern;Nüsse, Samen und Ölfrüchte;;pro 100g ;2520;606;45,2;7,8;23,8;7,8;0;26,6;5,9;23,5;3,6;21,5;0;0;5,2;0;0;0;0;0;0,42;0,06;0,42;0;1,1;25;0,86;0,5;0;6,33;660;9,2;18;40;270;540;5,2;10;4;-
Cervelat, Chlöpfer,Stumpen,Bockwurst;Fleisch- und Wurstwaren/Brühwurstware;;pro 100g ;1030;249;21,5;8,2;9,7;1,7;51;0,5;0,5;0;0;13,4;2,1;0;61,8;2;2;2;2;2;0,33;0,12;0,09;0,7;3,05;0,9;0,4;37,3;0,7;0;190;840;1140;11;13;190;0,8;0,4;1,6;6,8
Champignon, gedünstet (ohne Zugabe von Fett und Salz), ;Gemüse/Pilze;;pro 100g ;130;31;0,3;0,1;0;0,2;0;1,3;0,4;0,2;2,3;4,5;0;0;92,8;2;1;0;12;12;0,1;0,46;0,1;0;3,9;22;2,2;2,7;2,3;0,12;350;6;78;8,3;11;120;1;21;0,6;-
Champignon (Konserve), ;Gemüse/Pilze;;pro 100g ;77;19;0,3;0;0;0,1;0;0,5;0;0;2,5;2,2;0,9;0;92;2;1;0;10;-;0,02;0,19;0,06;0;2;10;2;2;0;0;120;340;400;23;12;69;0,8;18;0,5;-
Champignon, roh, ;Gemüse/Pilze;;pro 100g ;107;25;0,3;0;0;0,1;0;1,1;0,3;0,2;1,9;3,7;0;0;92;2;1;0;10;10;0,1;0,45;0,1;0;4;30;2,2;3;1,9;0,1;370;5,7;67;7;11;110;1;18;0,5;-
Chicorée, gedämpft (ohne Zugabe von Salz), Brüsseler Endivie;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;58;14;0,2;0,1;0;0,1;0;0,7;0,6;0,1;2,6;1;0;0;95,5;1;0;0;6;5;0,04;0,05;0,03;0;0,25;32,2;0,12;1,3;0;0,1;180;3,5;24;20;9,3;24;0,2;1;0,2;-
Chicorée, roh, Brüsseler Endivie;Gemüse/Gemüse frisch;;pro 100g ;56;14;0,2;0,1;0;0,1;0;0,7;0,6;0,1;2,5;1;0;0;94,7;1;0;0;6;6;0,05;0,05;0,03;0;0,3;52;0,14;2,3;0;0,1;210;4;25;20;10;25;0,2;1;0,2;-
Chili con carne, zubereitet, ;Gerichte/Eintöpfe und Suppen;;pro 100g ;511;122;4,1;1,2;1,9;0,7;17;8,7;2,4;6,2;3,1;10,9;0,4;0;73,2;65;33;2;376;-;0,11;0,08;0,14;0,34;1,4;27,2;0,29;5,4;0,1;0,95;360;150;330;27;30;110;1,9;2,2;1,9;-
Chinakohl, gedünstet (ohne Zugabe von Fett und Salz), Pekingkohl,Selleriekohl,Japankohl;Gemüse/Gemüse gekocht (inkl. Konserven);;pro 100g ;68;16;0,3;0,1;0;0,1;0;1,3;1,3;0;2;1,1;0;0;95,3;2;1;0;10;9;0,03;0,03;0,1;0;0,33;41,3;0,17;14,1;0;0,25;120;17;18;40;9,5;30;0,5;0,3;0,3;-
Chinakohl, roh, Pekingkohl,Selleriekohl,Japankohl;Gemüse/Gemüse frisch;;pro 100g ;66;16;0,3;0,1;0;0,1;0;1,2;1,2;0;1,9;1,1;0;0;94,9;2;1;0;10;10;0,03;0,04;0,12;0;0,4;66;0,2;26;0;0,24;140;19;18;40;11;30;0,6;0,3;0,3;-
Chräbeli (Anisgebäck), ;Süssigkeiten/Guetzli;;pro 100g ;1550;366;3;0,7;1,2;0,7;90;75,3;40,5;34,4;2;8,5;0,2;0;11,7;30;30;30;3;1;0,08;0,06;0,04;0,27;0,37;9;0,47;0;0,6;0,15;150;60;110;32;14;85;1,8;6,9;0,7;-
Cicorino rot, roh, ;Gemüse/Gemüse frisch;;pro 100g ;79;19;0,1;0;0;0,1;0;1,6;1,6;0;3;1,4;0;0;94;133;67;0;800;800;0,06;0,05;0,05;0;0,3;14,1;0,19;10;0;0,57;180;7;0;36;0;30;0,3;0;0,2;-
Cocktailsauce, selbst zubereitet mit Rapsöl-Mayonnaise, ;Verschiedenes/Saucen;;pro 100g ;2870;696;74,5;6,3;43,6;19,5;138;3,9;3,7;0,2;0,2;2,4;0,7;0;19;101;88;75;154;148;0,04;0,08;0,07;0,59;0,19;19,2;0,58;2,7;0,6;24,3;88;290;470;21;5,6;72;0,9;1,7;0,5;-
Colagetränk, gezuckert, ;Alkoholfreie Getränke/Süssgetränke;1;pro 100 ml;170;40;0;0;0;0;0;10;10;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;10;5;1;15;0;2;0;-
Colagetränk, mit Süssstoffen, ;Alkoholfreie Getränke/Süssgetränke energievermindert;1;pro 100 ml;1;0;0;0;0;0;0;0;0;0;0;0;0;0;99,8;0;0;0;0;0;0,01;0,02;0;0;0;0;0;0;0;0;1;5;11;4;1;8;0;1;0,1;-
Coleslaw Salat, zubereitet, ;Gerichte/Salate;;pro 100g ;497;120;10,3;1,8;2,9;5,1;19;4,2;4,1;0,1;2,1;1,6;0,2;0;81,8;167;87;6;965;775;0,04;0,06;0,14;0,1;0,28;23,7;0,3;29,6;0,1;6,23;200;74;120;59;11;45;0,3;5,1;0,2;-
Coppa, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1330;319;22,5;8,5;9,9;1,6;81;0,3;0,3;0;0;28,8;3,8;0;43,9;0;0;0;0;0;0,87;0,28;0,43;0,3;7,6;4;2,4;6,4;0,8;0,15;490;1520;2430;13;26;270;1,4;0;4,3;15
Cordon Bleu aus Kalbsplätzli, gebraten, ;Fleisch und Innereien/Kalb;;pro 100g ;1010;240;11,4;3,2;5,7;1,3;106;10,4;0,7;9,7;0,6;23,7;0,9;0;54;56;53;50;39;35;0,1;0,25;0,21;0,83;6,13;17;0,98;6,5;0,3;0,56;240;340;520;110;27;260;2;5,2;2,6;-
Cordon Bleu aus Schweinsplätzli, gebraten, ;Fleisch und Innereien/Schwein;;pro 100g ;1040;249;12,2;3,4;6,1;1,4;105;10,4;0,7;9,7;0,6;24;0,9;0;52,9;54;51;48;36;33;0,36;0,19;0,23;0,85;2,97;14;0,74;6,5;0,3;0,81;210;350;520;110;23;230;1,6;5,8;2,8;-
Cornflakes, ;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;;pro 100g ;1540;363;0,6;0,1;0,2;0,2;0;79,7;7,2;72,5;4;7,7;2,4;0;5,1;28;14;0;170;170;0,06;0,06;0,07;0;1,4;6;0,17;0;0;0,1;120;960;1800;13;14;59;2;1;0,3;-
Cotechino, ;Fleisch- und Wurstwaren/Rohwurstware;;pro 100g ;1860;450;42,3;14;20,3;6;98;0;0;0;0;17,2;4,4;0;36,8;0;0;0;0;0;0,2;0,16;0,07;0;7,3;1;0;0;0;0,24;270;1740;0;30;0;110;2,1;0;4,1;-
Cotto (Fleischerzeugnis), ;Fleisch- und Wurstwaren/Kochwurstware;;pro 100g ;392;93;3,1;1,2;1,5;0,2;35;0,6;0,6;-;0;15,7;2,3;0;77;0;0;0;-;-;0,47;0,15;0,27;0;4,2;-;0,7;46,3;0;0;380;910;1250;7,5;18;240;0,7;-;2,1;7,4
Cracker, Salzgebäck, Apérogebäck, ;Salzige Snacks/Salzsticks und Bretzel;;pro 100g ;1890;449;15,9;5,9;6,8;2,4;0;66,3;0;66,3;2,1;9,2;1,5;0;6,5;0;0;0;0;0;0,22;0,05;0,12;0;1,65;21,3;0,29;0;0;1,75;120;590;810;110;24;110;1,6;13;0,7;-
